artist_name	nb_artworks	artist_url
Vincent van Gogh	347	https://artsandculture.google.com/entity/vincent-van-gogh/m07_m2?categoryId=artist
Claude Monet	289	https://artsandculture.google.com/entity/claude-monet/m01xnj?categoryId=artist
Rembrandt	1290	https://artsandculture.google.com/entity/rembrandt/m0bskv2?categoryId=artist
Raphael	80	https://artsandculture.google.com/entity/raphael/m0c43g?categoryId=artist
Paul Cézanne	242	https://artsandculture.google.com/entity/paul-c%C3%A9zanne/m063mx?categoryId=artist
Albrecht Dürer	2060	https://artsandculture.google.com/entity/albrecht-d%C3%BCrer/m0z6n?categoryId=artist
Paul Gauguin	404	https://artsandculture.google.com/entity/paul-gauguin/m0h82x?categoryId=artist
Gustav Klimt	555	https://artsandculture.google.com/entity/gustav-klimt/m03869?categoryId=artist
Francisco Goya	1080	https://artsandculture.google.com/entity/francisco-goya/m02y23?categoryId=artist
Pierre-Auguste Renoir	246	https://artsandculture.google.com/entity/pierre-auguste-renoir/m06466?categoryId=artist
Peter Paul Rubens	445	https://artsandculture.google.com/entity/peter-paul-rubens/m0pwnh?categoryId=artist
Frida Kahlo	65	https://artsandculture.google.com/entity/frida-kahlo/m015k04?categoryId=artist
Titian	168	https://artsandculture.google.com/entity/titian/m0144mv?categoryId=artist
Edgar Degas	525	https://artsandculture.google.com/entity/edgar-degas/m0g_lz?categoryId=artist
Édouard Manet	367	https://artsandculture.google.com/entity/%C3%89douard-manet/m02mbk?categoryId=artist
Edvard Munch	96	https://artsandculture.google.com/entity/edvard-munch/m02nsp?categoryId=artist
Diego Rivera	62	https://artsandculture.google.com/entity/diego-rivera/m0q2c2?categoryId=artist
Eugène Delacroix	500	https://artsandculture.google.com/entity/eug%C3%A8ne-delacroix/m016s03?categoryId=artist
Henri de Toulouse-Lautrec	709	https://artsandculture.google.com/entity/henri-de-toulouse-lautrec/m0h7vt?categoryId=artist
William Blake	500	https://artsandculture.google.com/entity/william-blake/m03f70xs?categoryId=artist
Paul Klee	82	https://artsandculture.google.com/entity/paul-klee/m0ktf5?categoryId=artist
El Greco	94	https://artsandculture.google.com/entity/el-greco/m011k6_?categoryId=artist
Sandro Botticelli	66	https://artsandculture.google.com/entity/sandro-botticelli/m0jr3g?categoryId=artist
J. M. W. Turner	620	https://artsandculture.google.com/entity/j-m-w-turner/m0jh2y?categoryId=artist
Gustave Courbet	130	https://artsandculture.google.com/entity/gustave-courbet/m01dqt1?categoryId=artist
Camille Pissarro	265	https://artsandculture.google.com/entity/camille-pissarro/m0233w?categoryId=artist
Giorgio Vasari	150	https://artsandculture.google.com/entity/giorgio-vasari/m0pvnq?categoryId=artist
Michelangelo	156	https://artsandculture.google.com/entity/michelangelo/m058w5?categoryId=artist
Leonardo da Vinci	117	https://artsandculture.google.com/entity/leonardo-da-vinci/m04lg6?categoryId=artist
